n_multisubunit_complexes,n_ligandcomplex_pairs_with_multiple_subunit_axes,ligand,complex,n_subunits,subunits,is_multisubunit,ligand_passes_corrected,n_types_enriched_min_rule,types_enriched_min_rule,n_types_enriched_anysubunit,complex_survives_min_rule,complex_survives_anysubunit,n_subunit_axes_surviving_published,n_types_enriched_geomean,complex_survives_geomean,inflated_vs_complex_min_rule
102,98,GZMA,F2RL2,1.0,F2RL2,0.0,0.0,1.0,BRCA,1.0,False,False,0.0,1.0,False,False
102,98,GZMA,F2RL3,1.0,F2RL3,0.0,0.0,1.0,KIRC,1.0,False,False,0.0,1.0,False,False
102,98,GZMA,PARD3,1.0,PARD3,0.0,0.0,1.0,LUSC,1.0,False,False,0.0,2.0,False,False
102,98,HBEGF,EGFR,1.0,EGFR,0.0,0.0,2.0,KIRC;LUSC,2.0,False,False,0.0,3.0,False,False
102,98,HBEGF,EGFR_ERBB2,2.0,EGFR;ERBB2,1.0,0.0,0.0,,7.0,False,False,0.0,1.0,False,False
102,98,HBEGF,ERBB2_ERBB4,2.0,ERBB2;ERBB4,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,HBEGF,ERBB4,1.0,ERBB4,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,IGF1,IGF1R,1.0,IGF1R,0.0,0.0,3.0,HNSC;KICH;LUSC,3.0,False,False,0.0,4.0,False,False
102,98,IGF1,ITGA6_ITGB4,2.0,ITGA6;ITGB4,1.0,0.0,5.0,ESCA;HNSC;LUSC;STAD;THCA,11.0,False,False,0.0,10.0,False,False
102,98,IGF1,ITGAV_ITGB3,2.0,ITGAV;ITGB3,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,IGF2,IGF1R,1.0,IGF1R,0.0,0.0,3.0,HNSC;KICH;LUSC,3.0,False,False,0.0,4.0,False,False
102,98,IGF2,IGF2R,1.0,IGF2R,0.0,0.0,1.0,THCA,1.0,False,False,0.0,4.0,False,False
102,98,IGF2,ITGA6_ITGB4,2.0,ITGA6;ITGB4,1.0,0.0,5.0,ESCA;HNSC;LUSC;STAD;THCA,11.0,False,False,0.0,10.0,False,False
