gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
CCNF,0.05419331237887488,1.0555857065179037,0.29234910566168915,0.5632529694841174,6.198208609852381,194,16,0.06462981078702992,0.5352470177894487,0.04108701205231443,0.686659816275905,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZDHHC4,-0.06980449432733556,-1.0554800600540073,0.29239728402413667,0.5632589899645234,6.916021801085717,194,16,-0.09334514827778428,0.43486727418164256,-0.04024181262210096,0.7836527131958397,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
EVI5,-0.0337723963034585,-1.0549849069013733,0.2926231621796168,0.5636072675349821,4.498272743090478,194,16,-0.030248174761575045,0.6431563392400328,-0.03819816289099281,0.5209134909976388,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HCG4,0.03886399204446833,1.0547633570703268,0.29272426661737105,0.563664561296977,3.817456817171425,194,16,0.04457093029398173,0.5301842113068053,0.03169713935901666,0.6602611691299421,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
PARD6B,0.039495754205518104,1.0547221352627696,0.2927430808271694,0.563664561296977,5.7535081034476185,194,16,0.03489345067822998,0.6537531256745828,0.04527539119331518,0.49402929743240936,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SLC4A8,-0.03789066510503929,-1.0541107595016193,0.29302221726670774,0.5641151463302094,4.064741091899999,194,16,-0.032553173511575925,0.6650834837646072,-0.04459356152470156,0.4789323517599387,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
KIR3DS1,0.053879353805420256,1.053844374167642,0.2931438973386101,0.5642356620660853,5.536259346057142,194,16,0.06563151793054571,0.4690413013014234,0.03912082211336106,0.7241919038734925,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
EXOSC8,-0.09694338156572328,-1.053776118405406,0.2931750808495673,0.5642356620660853,4.86831087671428,194,16,-0.08625623035648462,0.6735964049345602,-0.11036445517732599,0.4022127280521633,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
AQP5,0.061960684780283264,1.0535592092789385,0.29327419341837035,0.5643395361115078,6.774457426514286,194,16,0.08030234661342157,0.4728213538337821,0.03892696992004604,0.7636400692764737,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
KANSL1L,-0.04881796721907332,-1.0532079796172986,0.293434729256286,0.5645615551188192,4.208526085700002,194,16,-0.06009240644444479,0.5324440557545801,-0.034659369122101845,0.6713010030067883,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HYI,0.04482948210693476,1.052734456217759,0.29365125561857,0.5648912136856996,6.92129631264286,194,16,0.051576647569445626,0.531681487896836,0.0363562975726648,0.691864791897061,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
PA2G4,-0.055384758036733525,-1.052440220477251,0.2937858541082865,0.5650631920095074,8.003211100114276,194,16,-0.05749294104397058,0.5925731160656411,-0.05273727239970671,0.6202046966963773,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
