gene,protein_class,secretome_location,secretome_function,is_secreted,is_plasma,is_membrane,is_intracellular,is_secreted_to_blood,secretion_tier,is_structural_ecm
IDH3B,"Citric acid cycle related proteins, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IDH3G,"Citric acid cycle related proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IDI1,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IDI2,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IDNK,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IDO1,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IDO2,"Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IDS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Intracellular and membrane,Enzyme,False,False,False,True,False,none,False
IDUA,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Intracellular and membrane,Enzyme,False,True,False,True,False,none,False
IER2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IER3,"Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
IER3IP1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
IER5,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IER5L,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFFO1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFFO2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFI16,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IFI27,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,True,True,True,False,none,False
IFI27L1,Predicted intracellular proteins,Intracellular and membrane,Other,False,False,False,True,False,none,False
IFI27L2,Predicted intracellular proteins,Intracellular and membrane,Other,False,False,False,True,False,none,False
IFI30,"Predicted intracellular proteins, Predicted membrane proteins",Intracellular and membrane,Immunity,False,False,True,True,False,none,False
IFI35,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,Immunity,True,False,False,True,True,extended,False
IFI44,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFI44L,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFI6,Predicted membrane proteins,,,False,False,True,False,False,none,False
IFIH1,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IFIT1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFIT1B,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFIT2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFIT3,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IFIT5,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IFITM1,"CD markers, Plasma proteins, Predicted membrane proteins, Transporters",,,False,True,True,False,False,none,False
IFITM10,Predicted membrane proteins,,,False,False,True,False,False,none,False
IFITM2,"Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
IFITM3,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
IFITM5,"Disease related genes, Human disease related genes, Predicted membrane proteins",,,False,False,True,False,False,none,False
IFNA1,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Secreted to blood,Interferon,True,True,False,False,True,core,False
IFNA10,Predicted secreted proteins,Secreted to blood,Interferon,True,False,False,False,True,extended,False
IFNA13,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Secreted to blood,Interferon,True,True,False,False,True,core,False
