gene,gencodeId,tissue,median_tpm
POSTN,ENSG00000133110.14,Nerve_Tibial,30.2479
POSTN,ENSG00000133110.14,Ovary,1.99225
POSTN,ENSG00000133110.14,Pancreas,0.640732
POSTN,ENSG00000133110.14,Pituitary,2.35716
POSTN,ENSG00000133110.14,Prostate,8.01458
POSTN,ENSG00000133110.14,Skin_Not_Sun_Exposed_Suprapubic,67.1924
POSTN,ENSG00000133110.14,Skin_Sun_Exposed_Lower_leg,68.3831
POSTN,ENSG00000133110.14,Small_Intestine_Terminal_Ileum,12.5476
POSTN,ENSG00000133110.14,Spleen,0.268786
POSTN,ENSG00000133110.14,Stomach,41.898
POSTN,ENSG00000133110.14,Testis,3.41514
POSTN,ENSG00000133110.14,Thyroid,18.8794
POSTN,ENSG00000133110.14,Uterus,29.5523
POSTN,ENSG00000133110.14,Vagina,9.43468
POSTN,ENSG00000133110.14,Whole_Blood,0.07568480000000001
FGF1,ENSG00000113578.17,Adipose_Subcutaneous,3.78473
FGF1,ENSG00000113578.17,Adipose_Visceral_Omentum,11.4784
FGF1,ENSG00000113578.17,Adrenal_Gland,0.405977
FGF1,ENSG00000113578.17,Artery_Aorta,24.6879
FGF1,ENSG00000113578.17,Artery_Coronary,30.6621
FGF1,ENSG00000113578.17,Artery_Tibial,17.1577
FGF1,ENSG00000113578.17,Bladder,0.46298
FGF1,ENSG00000113578.17,Brain_Amygdala,105.28399999999999
FGF1,ENSG00000113578.17,Brain_Anterior_cingulate_cortex_BA24,46.1198
FGF1,ENSG00000113578.17,Brain_Caudate_basal_ganglia,86.8496
FGF1,ENSG00000113578.17,Brain_Cerebellar_Hemisphere,38.5057
FGF1,ENSG00000113578.17,Brain_Cerebellum,40.3298
FGF1,ENSG00000113578.17,Brain_Cortex,43.4235
FGF1,ENSG00000113578.17,Brain_Frontal_Cortex_BA9,47.5265
FGF1,ENSG00000113578.17,Brain_Hippocampus,109.568
FGF1,ENSG00000113578.17,Brain_Hypothalamus,95.2491
FGF1,ENSG00000113578.17,Brain_Nucleus_accumbens_basal_ganglia,56.4993
FGF1,ENSG00000113578.17,Brain_Putamen_basal_ganglia,102.986
FGF1,ENSG00000113578.17,Brain_Spinal_cord_cervical_c-1,225.99099999999999
FGF1,ENSG00000113578.17,Brain_Substantia_nigra,167.248
FGF1,ENSG00000113578.17,Breast_Mammary_Tissue,4.29301
FGF1,ENSG00000113578.17,Cells_Cultured_fibroblasts,8.31275
FGF1,ENSG00000113578.17,Cells_EBV-transformed_lymphocytes,0.0559336
FGF1,ENSG00000113578.17,Cervix_Ectocervix,1.07402
FGF1,ENSG00000113578.17,Cervix_Endocervix,0.873326
