axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
GDF9->BMPR2,GDF9,BMPR2,not-cardiac (heart TPM < 1),False,0.2021879197238204,False,0.0005656919293025908,False,50.0,Testis,False,,0,False,False,False,False,BLCA;BRCA;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LIHC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;TGCT;THCA;UCEC;UCS,22,False
GRN->SORT1,GRN,SORT1,not-cardiac (below tissue median),False,0.2823217961864337,True,0.04240519082115617,False,34.0,Esophagus_Mucosa,False,LIHC,1,True,False,False,False,ACC;CESC;CHOL;LIHC;OV;PAAD;PCPG;PRAD;SKCM;UCEC;UCS,11,False
GZMA->F2R,GZMA,F2R,not-cardiac (heart TPM < 1),False,0.5446429726888383,False,0.0005480284819790646,False,34.0,Spleen,False,BRCA;COAD;ESCA;HNSC;KIRC;PRAD;STAD;THCA,8,True,False,False,False,BLCA;BRCA;CHOL;COAD;ESCA;GBM;LGG;OV;PAAD;PRAD;READ;STAD;UCS,13,False
GZMA->F2RL1,GZMA,F2RL1,not-cardiac (heart TPM < 1),False,0.5446429726888383,False,0.0005480284819790646,False,34.0,Spleen,False,HNSC;LUAD;LUSC;UCEC,4,True,False,False,False,BLCA;CESC;CHOL;ESCA;LUAD;LUSC;OV;PRAD;READ;TGCT;THCA;UCEC,12,False
GZMA->F2RL2,GZMA,F2RL2,not-cardiac (heart TPM < 1),False,0.5446429726888383,False,0.0005480284819790646,False,34.0,Spleen,False,BRCA,1,True,False,False,False,BRCA;PAAD,2,False
GZMA->F2RL3,GZMA,F2RL3,not-cardiac (heart TPM < 1),False,0.5446429726888383,False,0.0005480284819790646,False,34.0,Spleen,False,KIRC,1,True,False,False,False,PCPG,1,False
GZMA->PARD3,GZMA,PARD3,not-cardiac (heart TPM < 1),False,0.5446429726888383,False,0.0005480284819790646,False,34.0,Spleen,False,LUSC,1,True,False,False,False,CHOL;LUSC;UVM,3,False
HBEGF->EGFR,HBEGF,EGFR,cardiac-expressed-but-not-enriched,False,0.4841433413573128,True,0.01999608138392132,True,15.0,Adipose_Visceral_Omentum,False,KIRC;LUSC,2,True,False,False,False,GBM;KICH;KIRC;LGG;LUSC,5,False
HBEGF->ERBB2,HBEGF,ERBB2,cardiac-expressed-but-not-enriched,False,0.4841433413573128,True,0.01999608138392132,True,15.0,Adipose_Visceral_Omentum,False,BLCA;BRCA;LUAD;THCA;UCEC,5,True,False,False,False,BLCA;BRCA;CHOL;GBM;LUAD;OV;READ;SARC;UCEC;UCS;UVM,11,False
HBEGF->ERBB4,HBEGF,ERBB4,cardiac-expressed-but-not-enriched,False,0.4841433413573128,True,0.01999608138392132,True,15.0,Adipose_Visceral_Omentum,False,,0,False,False,False,False,BRCA;KICH;LGG;OV,4,False
