gene,gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl
ENSG00000135951,TSGA10,0.04248108212537773,0.815959800726281,0.41505849200696526,0.4790253539040734,8.221819639775326,194,166
ENSG00000267102,RP11-686D22.7,0.0903658997962186,0.8158482863823662,0.41512219372573156,0.47905709898374377,7.347958246304227,194,166
ENSG00000273257,RP11-177J6.1,0.1014070575637234,0.8158309399025957,0.4151321032914324,0.47905709898374377,5.047563615379163,194,166
ENSG00000119596,YLPM1,0.026498362753119696,0.8155503084755455,0.41529243979338293,0.4792155139844683,13.15308453312009,194,166
ENSG00000164463,CREBRF,-0.060249127930205884,-0.8153599921511046,0.4154011963936196,0.4793143954611776,12.89839099714978,194,166
ENSG00000164877,MICALL2,0.08740510361599,0.8152461357643335,0.41546626790358154,0.47936286232326514,10.946845977613144,194,166
ENSG00000189164,ZNF527,-0.03065785320570245,-0.8150848295047762,0.41555846844336236,0.479432644072409,10.830418012224039,194,166
ENSG00000223653,RP11-131L23.1,0.09765228545404803,0.8150596014823835,0.41557288954700466,0.479432644072409,4.323627230566618,194,166
ENSG00000265393,CTD-2517M22.17,-0.12138413149466629,-0.8149461709955828,0.41563773352488825,0.47948083381707024,5.533770797092239,194,166
ENSG00000108826,MRPL27,-0.0624844886793697,-0.814540800406627,0.4158695178024525,0.47972159031100553,13.451335884573238,194,166
ENSG00000232129,AC011385.2,-0.10314384886512154,-0.814417777172874,0.4159398756316595,0.4797761187556348,4.288978745140253,194,166
ENSG00000260996,RP13-122B23.8,-0.08238194152455991,-0.8141638247340122,0.4160851350856062,0.47991703348026765,6.255452044781285,194,166
ENSG00000214837,RP11-261C10.3,-0.1279832909648186,-0.8133619482923026,0.4165440015042294,0.48041963010652633,5.41822038259439,194,166
ENSG00000160094,ZNF362,0.08654028557122555,0.81311142669164,0.4166874216240085,0.4805583722053677,10.134864403558039,194,166
ENSG00000161847,RAVER1,-0.1338032440914645,-0.8122661474620768,0.41717154797461564,0.48109000768371185,7.740892905808713,194,166
ENSG00000124160,NCOA5,0.02297864954200053,0.8122217716161719,0.4171969730516366,0.48109263065235336,12.324662077533125,194,166
ENSG00000042088,TDP1,-0.03980758370637377,-0.8116643981177382,0.4175163975049124,0.481434261266762,9.540240202696717,194,166
ENSG00000249119,MTND6P4,0.08800898953472112,0.8107508759150507,0.41804023961853043,0.48201155298855247,8.36408934212296,194,166
ENSG00000151466,SCLT1,-0.03978380617828404,-0.8105379377258894,0.4181624008522025,0.48212565757376946,10.61943316341295,194,166
ENSG00000214975,PPIAP29,-0.06724849705835492,-0.8097390911502172,0.4186208819590281,0.48262749226022533,6.998081551370092,194,166
ENSG00000197857,ZNF44,0.03694267402560147,0.8092857456029231,0.4188812021363127,0.48290082445327387,11.867462456898394,194,166
ENSG00000251209,LINC00923,0.11637829154756221,0.8092401047954332,0.4189074153085315,0.4829042545918119,5.659335548425019,194,166
ENSG00000149548,CCDC15,0.06633882336905261,0.8089805397225849,0.41905651137769184,0.4830493323130583,6.815851232611923,194,166
ENSG00000123384,LRP1,0.04924820817611607,0.8084878839525635,0.41933958263254334,0.48334881949563946,14.960883353762345,194,166
ENSG00000234782,TPT1P9,0.05212868721722852,0.8071595665266479,0.42010337263790326,0.48420233981077465,10.100750237849933,194,166
ENSG00000163125,RPRD2,-0.035682864736707585,-0.8064606481907773,0.4205055839412972,0.48463904053486206,12.665189751631763,194,166
ENSG00000166794,PPIB,0.06543873975378343,0.8062725750216021,0.42061385445253124,0.48473694040472787,14.192351479012633,194,166
ENSG00000186714,CCDC73,0.17974848352617595,0.805782070677125,0.4208963067490789,0.4850355542922758,5.2551507560950474,194,166
ENSG00000115414,FN1,0.07821828890548432,0.8057315278945159,0.42092541768541913,0.4850422038882497,16.63898155656537,194,166
ENSG00000008018,PSMB1,0.042314209318555916,0.8054866471186983,0.42106647754700394,0.4851778469589292,14.867659946567024,194,166
ENSG00000110660,SLC35F2,0.06513062433339982,0.8053487742127458,0.42114590940192886,0.48524246746958766,8.290919484818668,194,166
ENSG00000142185,TRPM2,0.08334078235100303,0.8049517347460098,0.42137470258539683,0.4854791647406515,8.776467544164978,194,166
ENSG00000091622,PITPNM3,-0.06303797665367454,-0.8045691233827028,0.4215952508661572,0.4857052784886827,7.4771991115751275,194,166
ENSG00000138796,HADH,-0.03543771392419555,-0.8045177271156331,0.42162488234300094,0.4857052784886827,15.700982072402248,194,166
ENSG00000116455,WDR77,-0.026158343614099244,-0.804489637891334,0.4216410771346824,0.4857052784886827,12.66607846691593,194,166
ENSG00000236852,RP11-3D23.1,0.09589435664040627,0.8038049762856816,0.42203593082294355,0.48611419366393194,4.6591312397877065,194,166
ENSG00000114554,PLXNA1,0.048360338197652515,0.803792997381817,0.4220428411570502,0.48611419366393194,12.648706174855743,194,166
ENSG00000149782,PLCB3,0.044491761339184484,0.80323373907041,0.4223655376130249,0.4864589168728189,11.255805151838363,194,166
