gene,gene_symbol,logFC,t,P.Value,adj.P.Val,AveExpr,s2_prior_gene,limma_variant,df_prior
ENSG00000270095,RP11-214K3.18,-0.293472897360502,-1.47154501393559,0.145966206846429,0.240876673345278,0.75766854360568,0.140643902207157,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270096,RP11-362K14.6,0.262934797005525,3.57146206294826,0.0006740753959992,0.0028385531282611,0.519250983661464,0.13987773555566,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270101,RP11-24B19.3,0.303292575764431,2.62232007766303,0.0108657861033763,0.0289551658386006,2.62414564101446,0.123587088308544,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270102,RP11-498E2.8,0.359059123370359,2.75731086424418,0.0075564714503984,0.0214069831457673,1.44308854439681,0.139839593692882,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270103,RNU11,0.359713268026153,0.759959560665925,0.450024868219022,0.569814208295894,3.02333306271808,0.115693885892969,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270108,RP11-73M18.6,0.496732170222805,3.98087778171518,0.0001756037522261,0.0009347614701832,1.9968365307542,0.134310612235587,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270109,RP11-393M11.2,0.102525508356585,1.05952767691669,0.29327869077937,0.4116422879549,0.465815700295103,0.139660933856865,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270112,RP11-742D12.2,0.499663414905007,2.92548523276815,0.0047312690507177,0.0144921158816198,2.28647664757367,0.129765237638721,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270113,RP11-282O18.6,0.841773878542712,5.91848242818728,1.33452459193143e-07,2.27544231978348e-06,3.03163961837709,0.115527578062178,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270123,VTRNA2-1,-0.0100092945879407,-0.0284284283228748,0.977407505899466,0.984326091848562,0.472936174898116,0.139690596607096,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270127,RP11-526I2.5,0.202758663926449,2.01309714184095,0.0482471206753593,0.0983252175608894,1.14884366647494,0.140866339814516,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270130,RP11-214K3.23,0.0027397317557633,0.0253173984210844,0.979879318289385,0.98613549509533,0.599292421890612,0.140174854488159,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270132,WISP1-OT1,0.146403736725347,1.39065727892843,0.169069637576204,0.270500125436175,0.362441425619097,0.139206939067225,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270136,MINOS1-NBL1,-1.72393132135861,-6.11625542655713,6.09327380550817e-08,1.22368129311351e-06,1.19031374600257,0.140791819432048,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270143,AC004257.3,0.48987839869602,3.95998508413919,0.0001884295987996,0.0009914727448845,2.68844227750173,0.122341991497725,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270147,RP11-646I6.6,0.328513914091445,3.52980071688209,0.00076948387588,0.0031672725381422,0.87674134526746,0.140869826284799,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270157,RP5-894A10.6,-0.370497962088664,-2.69281115423461,0.0090013649418444,0.0247709261480985,1.71281626977858,0.137752760646591,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270164,AC006129.4,0.303778180735563,2.60411422134935,0.0114012751764422,0.0301304449392002,0.888417206495972,0.140885276781538,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270170,NCBP2-AS2,0.250811083432731,3.64213150693917,0.0005374425546663,0.0023550732745478,4.22369369872444,0.093998571220835,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270172,RP5-1024G6.8,-0.171120689214561,-1.82562238300896,0.0724987252515319,0.136793581662165,0.571050710527085,0.140074098618044,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270173,RP11-382B18.4,0.127766355192183,1.37348223947499,0.174318743947062,0.276842829797052,0.430013644327525,0.139508448372154,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270175,RP11-793H13.11,-0.038494396953013,-0.359604500639064,0.720307946056883,0.79940974055852,2.12559252258452,0.132399175536608,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270178,RP11-494H4.3,0.512537475573117,3.43372387867083,0.0010406991745362,0.0040966077819058,0.862310091685074,0.140849000083734,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270179,RP11-159N11.4,0.15516037194924,1.44337454280024,0.153714623427028,0.250866845384446,1.3384008750037,0.140342744184278,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270181,BIVM-ERCC5,-0.20703012591587,-2.60836662527531,0.0112740967699256,0.0298363884803806,3.24244914478735,0.111325634644904,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270188,MTRNR2L11,1.25856086343198,7.849822508742,5.3762918741254e-11,4.362761294892131e-09,6.09804516254999,0.075548405830485,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270189,RP11-258C19.7,0.319323304373429,2.12095330731496,0.0377429824337663,0.0806621873901501,2.74914313700741,0.121153432834421,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270194,RP11-259K5.2,0.182822264825085,0.916744161115323,0.362663696418422,0.481877090376987,0.252568057144927,0.13868629364532,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270195,RP11-572O17.1,0.255627985930291,2.86878961864086,0.0055508465196964,0.0165288185983351,0.811608874842154,0.140761156026703,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270210,RP11-373D23.3,0.307429489578335,1.9298690670391,0.0579866603837796,0.11421141037474,0.798140586728467,0.140734110217627,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270213,RP11-452D24.1,-0.690963667701748,-2.26353437628559,0.0269462275182033,0.0611868426701041,5.05966814288176,0.0837364943401396,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270225,RP11-475J5.4,-0.838851839904642,-3.99884379234235,0.0001652499194821,0.0008869734776712,11.8090472394857,0.0825419879023193,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270230,RP11-475J5.11,-0.257985263749099,-1.32384417180956,0.190189154586378,0.295891811189913,0.876917216836539,0.140870068353853,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270232,RP11-475J5.7,-1.53921541357954,-4.69536971503921,1.41917135385784e-05,0.0001114752404252,7.60234141637575,0.070033895409233,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270236,RP11-265B8.5,-1.64955624474762,-8.72798068992859,1.4884263096925299e-12,2.76367969875961e-10,6.18306510786026,0.0750570351448213,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270237,RP11-381K20.5,0.020073109924021,0.162763294728179,0.871209482591314,0.911450471426888,0.976027252163463,0.140959401622905,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270246,SNORD109A,-0.78241997788346,-6.18381841055904,4.6553623159773e-08,9.80759503298679e-07,1.51064171398274,0.139427262152938,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270248,CTC-471J1.10,0.29796805754435,3.45313116081746,0.0009794987614325,0.0038934720361007,4.26542062822982,0.0933900578907901,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270264,NDUFB8P2,0.311700982715997,4.80017050932129,9.6635549319613e-06,8.05357506881979e-05,4.05683199028138,0.0965470070045029,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270294,RP11-566F5.1,-0.36258504948625,-3.04158780674885,0.0033909330842572,0.0110034573276179,1.6420298962411,0.138416547206217,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270296,RP11-59H1.4,-0.593137062032067,-3.74132010863475,0.0003894751383623,0.0018090736233873,2.09004026525984,0.132945927368046,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270304,RP11-597G23.1,0.214884529671039,2.54443735878632,0.0133287730816507,0.0342079674615166,0.852541909902578,0.140833834332046,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270307,MTATP6P2,-0.612764680161592,-2.55980437746861,0.012806102609565,0.0330718656501142,5.06463651682728,0.0836864792023029,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270316,C10orf32-ASMT,-0.187448179721779,-1.01524491129405,0.313751171219467,0.433080587249954,0.268664518211596,0.138764461710041,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270317,AC004004.2,-0.0476694410150908,-0.486023743182655,0.628583917965416,0.725047309429969,0.11901726078969,0.138021756574665,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270318,IGHV3OR16-11,0.0097184081409401,0.0940218485575822,0.925380864216572,0.949030833878725,0.127115459628333,0.138062598581514,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270321,RP11-2L8.2,-0.0474527449696858,-0.315378068165177,0.753484367886418,0.824988381409795,0.124433216729599,0.138049075483145,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270326,RP5-874C20.6,-0.120853898524134,-0.409041549099256,0.683853074623511,0.770361347403431,0.729874917519715,0.140574484842719,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270332,RP11-82L2.1,-0.282070899715203,-2.59211030876953,0.0117673420733249,0.0308621576282678,1.15363452169267,0.140858819286506,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270333,RP11-566F5.2,-0.124617994384724,-0.930329395941894,0.35564101590046,0.475011866519085,0.298097294757242,0.138905874964971,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270344,RP11-734K2.4,0.0448216595120766,0.297093112134625,0.767342246957594,0.835028738990805,1.27017405789915,0.140586301173618,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270350,RP11-475J5.9,-1.24095294342597,-6.07862684513678,7.07671232778005e-08,1.37945522332439e-06,6.68248124583337,0.072637338049663,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
