gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,UCEC,UCS,UVM
GDF3,1.2972,0.9353,2.2208,0.6817,0.8956,0.3699,0.6049,0.0000,1.0483,2.2013,9.5512,1.3879,0.0000,0.0000,0.6046,0.3784,0.5411,2.2710,2.9623,4.6025,0.8288,0.4049,1.3284,0.5160,1.4371,1997.3450,2.6397,2.0768,1.8467,0.5296
GDF5,1.4340,1.3637,5.4343,2.6781,0.7995,0.9362,1.5146,15.3309,3.0874,2.4526,2.3175,29.8048,6.6376,0.3839,17.1045,5.7028,210.9030,15.9871,4.9536,1.4955,12.1887,0.5465,33.3333,0.5799,1.6885,2.4239,16.7022,74.7718,63.7197,0.5224
GDF6,10.2041,11.1418,9.7434,2.8364,5.2428,2.6979,4.8158,3.6231,7.0017,17.8565,253.2700,1.6740,6.0105,4.0055,2.6870,5.9638,42.0552,12.8474,49.0898,21.6333,11.7389,2.5775,19.6078,0.8145,7.1414,15.8270,4.2586,1.5194,35.8073,0.5280
GDF7,0.0000,3.5003,0.0000,0.3137,4.3205,0.0000,-0.2318,0.0000,0.1187,0.4511,3.2439,5.1371,0.9846,7.2423,0.5048,0.3240,1.5788,-0.6410,0.8636,0.8558,3.6174,0.0000,0.0000,0.0000,-0.0548,0.4085,0.3009,0.4050,1.0545,0.0000
GDF9,32.2034,11.1385,17.3502,8.4914,13.9756,5.6627,8.3125,27.5206,4.7090,12.0768,12.2375,20.7422,41.4754,16.4888,8.1652,9.7624,10.0413,21.5327,7.5332,23.0608,17.3047,6.5336,13.8213,10.8505,7.7417,12.5134,11.7508,14.7460,21.6119,10.6895
GDNF,0.0000,0.0000,0.0000,0.0000,1.1637,0.9337,0.6013,0.6614,1.3428,0.0000,0.0000,0.0000,4.2344,0.5163,0.4016,1.4966,0.6506,0.3318,0.9202,4.1609,1.9179,1.5072,3.1250,1.8480,0.5656,0.5184,0.0000,0.0000,2.5840,2.9306
GFRA1,14.8973,13.6134,3964.0900,9.9068,25.4622,27.3610,43.8678,61.5819,34.9519,21.3659,321.8820,390.8395,784.2345,590.0820,49.0028,29.0326,241.9080,35.1681,182.6090,225.8730,144.0580,28.2100,312.2230,41.8831,109.3670,167.8495,21.7382,21.7579,1281.5200,53.1791
GFRA2,40.6780,8.2870,9.2500,4.2141,8.1927,7.1106,4.2724,73.5333,15.0274,7.2089,46.8820,7.7063,177.5105,40.0600,15.1714,10.2671,8.7974,10.4776,22.2695,1004.5200,17.8635,8.6404,58.3681,16.1638,7.8117,68.3371,588.0260,14.5843,89.2468,21.3343
GFRA3,3.5492,10.0585,2.3206,6.9716,3.1752,4.8186,8.6895,3.6977,6.6779,0.3296,0.6670,0.4903,1.0095,0.5943,87.0068,32.2112,4.2517,10.1232,28.5625,205.1280,20.3149,8.0725,3.2323,6.9238,8.8388,97.1137,0.8803,37.4595,62.7788,4.9318
GFRA4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2711,0.0000,4.4669,0.0000,0.4048,0.0000
