receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
CX3CR1,STAD,Stomach,38.51,24.87,13.63,0.69,12.94,enriched,23.8,0.222,False,good,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,55.4,-1.1854,-1.1854,-0.375,0.0006956793071316302,depleted,discordant,enriched
EGFR,STAD,Stomach,75.42,73.89,1.52,0.69,0.83,comparable,685.3,11.0075,True,good,0.2873,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,729.52,-0.0901,-0.0901,-0.1358,0.2377781121478609,comparable,comparable (both methods agree),comparable
ERBB2,STAD,Stomach,94.56,89.92,4.64,0.69,3.95,comparable,4247.1,34.4997,True,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,3697.28,0.2,0.2,0.1565,0.17131354706075125,comparable,comparable (both methods agree),comparable
ERBB3,STAD,Stomach,95.65,92.39,3.26,0.69,2.57,comparable,5490.2,45.5726,True,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,3989.03,0.4607,0.4607,0.3995,0.00029952230553827674,comparable,comparable (both methods agree),comparable
ERBB4,STAD,Stomach,21.54,29.37,-7.83,0.69,-8.52,comparable,2.14,0.3669,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,8.15,-1.5433,-1.5433,,,comparable,comparable (both methods agree),comparable
F2R,STAD,Stomach,84.48,62.94,21.54,0.69,20.85,enriched,1369.77,5.5952,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,530.69,1.3663,1.3663,0.8108,1.0630304094007938e-13,enriched,enriched (both methods agree),enriched
F2RL1,STAD,Stomach,86.0,76.36,9.64,0.69,8.96,comparable,1542.83,12.9888,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,840.48,0.8755,0.8755,0.131,0.2550126142665897,comparable,comparable (both methods agree),comparable
F2RL2,STAD,Stomach,63.67,40.68,22.99,0.69,22.3,enriched,291.98,1.0632,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,91.08,1.6698,1.6698,0.6578,1.7204184885911636e-09,enriched,enriched (both methods agree),enriched
F2RL3,STAD,Stomach,54.82,58.16,-3.34,0.69,-4.02,comparable,137.14,4.0121,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,139.03,-0.0196,-0.0196,0.0324,0.7910434498742094,comparable,comparable (both methods agree),comparable
FGFR1,STAD,Stomach,76.21,79.04,-2.83,0.69,-3.52,comparable,713.71,15.3995,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1159.59,-0.6994,-0.6994,-0.3232,0.003634901810439466,depleted,comparable/depleted (partial),comparable
FGFR2,STAD,Stomach,75.49,62.07,13.42,0.69,12.73,enriched,687.33,5.3498,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,853.56,-0.3121,-0.3121,-0.1187,0.3046158183120602,comparable,enriched/comparable (partial),enriched
FGFR3,STAD,Stomach,70.12,68.31,1.81,0.69,1.12,comparable,457.56,7.4648,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,357.97,0.3532,0.3532,0.1423,0.2162953585335551,comparable,comparable (both methods agree),comparable
FGFR4,STAD,Stomach,81.51,70.34,11.17,0.69,10.48,enriched,1113.77,8.487,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,326.2,1.7685,1.7685,0.7318,2.053049689698899e-11,enriched,enriched (both methods agree),enriched
FLT1,STAD,Stomach,79.91,66.13,13.78,0.69,13.09,enriched,964.38,6.6125,True,good,0.1691,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,650.98,0.5663,0.5663,0.3628,0.0010490739713811363,enriched,enriched (both methods agree),enriched
FZD1,STAD,Stomach,72.44,60.99,11.46,0.69,10.77,enriched,547.12,4.9439,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,637.02,-0.2191,-0.2191,-0.0914,0.43562428480432425,comparable,enriched/comparable (partial),enriched
FZD10,STAD,Stomach,39.16,29.88,9.28,0.69,8.59,comparable,24.8,0.3872,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,37.86,-0.5908,-0.5908,,,comparable,comparable (both methods agree),comparable
FZD2,STAD,Stomach,50.54,43.65,6.89,0.69,6.2,comparable,96.31,1.2945,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,42.01,1.1778,1.1778,0.602,3.686813616003983e-08,enriched,comparable/enriched (partial),comparable
FZD3,STAD,Stomach,55.4,48.44,6.96,0.69,6.27,comparable,144.78,1.9309,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,106.17,0.4439,0.4439,0.1417,0.21830211594384935,comparable,comparable (both methods agree),comparable
FZD4,STAD,Stomach,73.1,82.74,-9.64,0.69,-10.33,depleted,579.75,20.7791,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,618.16,-0.0924,-0.0924,-0.1316,0.2527832720609777,comparable,depleted/comparable (partial),depleted
FZD5,STAD,Stomach,86.95,76.87,10.08,0.69,9.39,comparable,1610.0,13.3731,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1700.65,-0.079,-0.079,0.052,0.6640436871019176,comparable,comparable (both methods agree),comparable
FZD6,STAD,Stomach,75.92,74.11,1.81,0.69,1.12,comparable,701.18,11.2831,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,518.15,0.4357,0.4357,0.2765,0.013539420821932902,comparable,comparable (both methods agree),comparable
FZD7,STAD,Stomach,69.83,64.03,5.8,0.69,5.11,comparable,454.06,5.8084,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,562.26,-0.3077,-0.3077,-0.1867,0.09945181585010429,comparable,comparable (both methods agree),comparable
FZD8,STAD,Stomach,58.38,72.15,-13.78,0.69,-14.47,depleted,193.68,9.892,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,231.17,-0.2541,-0.2541,-0.034,0.7800535852222751,comparable,depleted/comparable (partial),depleted
FZD9,STAD,Stomach,23.86,31.11,-7.25,0.69,-7.94,comparable,3.11,0.4286,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,9.07,-1.2941,-1.2941,-0.4881,8.90256000309005e-06,depleted,comparable/depleted (partial),comparable
HAVCR2,STAD,Stomach,61.78,48.01,13.78,0.69,13.09,enriched,243.31,1.8103,False,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,76.64,1.6538,1.6538,0.6101,2.4022438865957538e-08,enriched,enriched (both methods agree),enriched
IGF1R,STAD,Stomach,82.02,75.78,6.24,0.69,5.55,comparable,1120.53,12.6127,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1143.93,-0.0298,-0.0298,-0.0099,0.9360506508312645,comparable,comparable (both methods agree),comparable
IGF2R,STAD,Stomach,93.84,79.41,14.43,0.69,13.74,enriched,3577.64,15.9579,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,3080.04,0.216,0.216,0.2843,0.011035844948005349,comparable,enriched/comparable (partial),enriched
IL17RB,STAD,Stomach,66.57,67.37,-0.8,0.69,-1.49,comparable,356.09,7.0233,True,good,0.1853,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,92.21,1.9377,1.9377,0.7568,4.112298575661099e-12,enriched,comparable/enriched (partial),comparable
IL6ST,STAD,Stomach,75.13,89.85,-14.72,0.69,-15.41,depleted,666.27,34.4215,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,938.18,-0.4931,-0.4931,-0.3104,0.005324752853931695,comparable,depleted/comparable (partial),depleted
ITGA4,STAD,Stomach,71.72,45.47,26.25,0.69,25.56,enriched,524.43,1.5115,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,226.99,1.2045,1.2045,0.3071,0.005839264497836957,enriched,enriched (both methods agree),enriched
ITGA6,STAD,Stomach,96.52,91.3,5.22,0.69,4.53,comparable,6400.14,38.7406,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,3507.22,0.8676,0.8676,0.5569,3.6536224307732714e-07,enriched,comparable/enriched (partial),comparable
ITGAV,STAD,Stomach,93.26,82.67,10.59,0.69,9.9,comparable,3386.34,20.3024,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,2365.82,0.5172,0.5172,0.2602,0.02045710969950234,enriched,comparable/enriched (partial),comparable
ITGB1,STAD,Stomach,98.33,93.62,4.71,0.69,4.02,comparable,12050.49,55.4739,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,6609.37,0.8664,0.8664,0.3651,0.0009753068697122024,enriched,comparable/enriched (partial),comparable
ITGB3,STAD,Stomach,57.65,54.6,3.05,0.69,2.36,comparable,178.59,3.1719,False,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,214.13,-0.2605,-0.2605,-0.0828,0.4814022917164278,comparable,comparable (both methods agree),comparable
ITGB4,STAD,Stomach,96.81,91.66,5.15,0.69,4.46,comparable,6796.14,40.8893,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,4325.99,0.6516,0.6516,0.3949,0.0003516082880399593,enriched,comparable/enriched (partial),comparable
ITGB5,STAD,Stomach,91.23,84.41,6.82,0.69,6.13,comparable,2553.99,22.5454,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,2235.52,0.1921,0.1921,0.1911,0.09188337475538959,comparable,comparable (both methods agree),comparable
LIFR,STAD,Stomach,65.48,85.42,-19.94,0.69,-20.63,depleted,336.93,24.4834,False,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,998.75,-1.5648,-1.5648,-0.638,5.280748671061958e-09,depleted,depleted (both methods agree),depleted
LRP1,STAD,Stomach,97.03,86.51,10.51,0.69,9.83,comparable,7357.95,26.4231,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,10176.76,-0.4678,-0.4678,-0.1355,0.238728274558872,comparable,comparable (both methods agree),comparable
LRP5,STAD,Stomach,91.66,86.58,5.08,0.69,4.39,comparable,2623.67,26.7365,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,2287.18,0.1979,0.1979,0.333,0.0027239639692940285,comparable,comparable (both methods agree),comparable
LRP6,STAD,Stomach,80.71,68.24,12.47,0.69,11.78,enriched,1034.54,7.4586,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,664.44,0.638,0.638,0.4922,7.521967768372785e-06,enriched,enriched (both methods agree),enriched
MERTK,STAD,Stomach,62.44,77.52,-15.08,0.69,-15.77,depleted,265.93,14.0792,False,good,0.1195,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,350.83,-0.3984,-0.3984,-0.2236,0.047517764891288984,comparable,depleted/comparable (partial),depleted
NCL,STAD,Stomach,98.62,97.75,0.87,0.69,0.18,comparable,14681.64,137.525,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,9621.12,0.6097,0.6097,0.7571,4.0426551467322845e-12,enriched,comparable/enriched (partial),comparable
NPR1,STAD,Stomach,51.78,70.12,-18.35,0.69,-19.04,depleted,107.5,8.4156,False,good,3.0542,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,302.67,-1.4848,-1.4848,-0.5355,1.0332846127098778e-06,depleted,depleted (both methods agree),depleted
NRP1,STAD,Stomach,87.24,64.54,22.7,0.69,22.01,enriched,1700.8,6.0174,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1157.63,0.5546,0.5546,0.355,0.0013632512953606027,enriched,enriched (both methods agree),enriched
NRP2,STAD,Stomach,77.3,62.22,15.08,0.69,14.39,enriched,778.73,5.4636,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1216.12,-0.6424,-0.6424,-0.1494,0.19293910032821593,comparable,enriched/comparable (partial),enriched
NTRK1,STAD,Stomach,24.15,36.91,-12.76,0.69,-13.45,depleted,3.27,0.7647,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,6.84,-0.8761,-0.8761,-0.3289,0.003066885649364263,depleted,depleted (both methods agree),depleted
NTRK2,STAD,Stomach,47.86,31.69,16.17,0.69,15.48,enriched,78.74,0.448,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,270.51,-1.7677,-1.7677,-0.3959,0.0003400414497853116,depleted,discordant,enriched
NTRK3,STAD,Stomach,27.27,34.3,-7.03,0.69,-7.72,comparable,5.45,0.5917,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,35.54,-2.5031,-2.5031,-0.6054,3.059493242519263e-08,depleted,comparable/depleted (partial),comparable
PARD3,STAD,Stomach,78.9,75.63,3.26,0.69,2.57,comparable,902.91,12.4862,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1060.41,-0.2317,-0.2317,-0.1111,0.33845705291105355,comparable,comparable (both methods agree),comparable
PDGFRB,STAD,Stomach,92.17,86.08,6.09,0.69,5.4,comparable,2791.42,25.1558,True,good,0.2297,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,962.13,1.5357,1.5357,0.6239,1.1332359499650136e-08,enriched,comparable/enriched (partial),comparable
PLXNA1,STAD,Stomach,87.09,74.18,12.91,0.69,12.22,enriched,1665.18,11.294,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,833.84,0.997,0.997,0.7518,5.69441539161081e-12,enriched,enriched (both methods agree),enriched
PLXNA2,STAD,Stomach,82.09,73.6,8.48,0.69,7.8,comparable,1125.32,10.819,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1660.76,-0.5611,-0.5611,-0.353,0.0014528515473888122,depleted,comparable/depleted (partial),comparable
PLXNA3,STAD,Stomach,78.83,70.56,8.27,0.69,7.58,comparable,900.37,8.5984,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,521.95,0.7854,0.7854,0.6738,7.026322036934168e-10,enriched,comparable/enriched (partial),comparable
PLXNA4,STAD,Stomach,47.64,35.24,12.4,0.69,11.71,enriched,77.84,0.6405,False,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,118.59,-0.601,-0.601,-0.1744,0.12532637691814652,comparable,enriched/comparable (partial),enriched
PTPRC,STAD,Stomach,81.36,62.0,19.36,0.69,18.67,enriched,1094.33,5.3495,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,540.16,1.0172,1.0172,0.2212,0.04989768054124879,enriched,enriched (both methods agree),enriched
PTPRZ1,STAD,Stomach,41.91,64.61,-22.7,0.69,-23.39,depleted,38.34,6.0686,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,337.82,-3.1065,-3.1065,,,comparable,depleted/comparable (partial),depleted
SDC1,STAD,Stomach,95.21,88.76,6.45,0.69,5.77,comparable,4782.25,31.7841,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,6478.62,-0.4379,-0.4379,-0.127,0.27060030150576514,comparable,comparable (both methods agree),comparable
SDC2,STAD,Stomach,80.64,83.61,-2.97,0.69,-3.66,comparable,1029.21,21.6341,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1319.61,-0.3583,-0.3583,-0.2456,0.028841879335954848,comparable,comparable (both methods agree),comparable
SDC3,STAD,Stomach,86.51,77.3,9.21,0.69,8.52,comparable,1567.71,13.9371,True,good,0.7548,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1657.19,-0.08,-0.08,-0.0877,0.45571592596454924,comparable,comparable (both methods agree),comparable
SDC4,STAD,Stomach,96.59,97.61,-1.02,0.69,-1.7,comparable,6417.45,136.461,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,4705.31,0.4476,0.4476,0.2928,0.008753224908946821,comparable,comparable (both methods agree),comparable
SORT1,STAD,Stomach,91.01,81.87,9.14,0.69,8.45,comparable,2539.4,18.776,True,good,0.2905,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,2728.49,-0.1036,-0.1036,-0.1212,0.293897689395343,comparable,comparable (both methods agree),comparable
TGFBR1,STAD,Stomach,86.08,74.69,11.39,0.69,10.7,enriched,1548.49,12.0137,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1101.76,0.4907,0.4907,0.2514,0.025283755295344615,comparable,enriched/comparable (partial),enriched
TGFBR2,STAD,Stomach,92.82,95.58,-2.76,0.69,-3.44,comparable,3073.3,74.425,True,good,0.878,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,4054.46,-0.3996,-0.3996,-0.2437,0.030075248814731073,comparable,comparable (both methods agree),comparable
TNFRSF12A,STAD,Stomach,79.48,84.63,-5.15,0.69,-5.84,comparable,929.95,22.6578,True,good,0.2206,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,330.49,1.4897,1.4897,0.6288,8.745661774413327e-09,enriched,comparable/enriched (partial),comparable
TNFRSF1A,STAD,Stomach,89.78,93.84,-4.06,0.69,-4.75,comparable,2174.98,56.6611,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,2723.75,-0.3245,-0.3245,-0.4898,8.31905518070988e-06,comparable,comparable (both methods agree),comparable
TNFRSF1B,STAD,Stomach,84.92,82.09,2.83,0.69,2.14,comparable,1436.89,19.224,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,32.0,1084.74,0.4053,0.4053,0.2292,0.0419591694014076,comparable,comparable (both methods agree),comparable
TYRO3,STAD,Stomach,65.12,55.84,9.28,0.69,8.59,comparable,329.96,3.3948,False,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,32.0,336.2,-0.0269,-0.0269,-0.0483,0.6880700333362624,comparable,comparable (both methods agree),comparable
ACKR1,TGCT,Testis,57.87,67.08,-9.21,0.58,-9.79,comparable,187.38,8.5889,False,fair,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ACVR1,TGCT,Testis,80.13,58.74,21.39,0.58,20.81,enriched,826.47,5.7023,True,fair,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
ACVR1B,TGCT,Testis,93.55,83.32,10.22,0.58,9.64,comparable,2851.51,23.797,True,fair,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,comparable (GTEx rank only),comparable
ACVR2A,TGCT,Testis,66.57,69.33,-2.76,0.58,-3.34,comparable,336.09,9.5425,False,fair,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ACVR2B,TGCT,Testis,89.12,60.33,28.79,0.58,28.21,enriched,1629.48,5.9491,True,fair,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
AGTR1,TGCT,Testis,30.09,42.64,-12.55,0.58,-13.13,depleted,14.69,2.3167,False,fair,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
AXL,TGCT,Testis,72.08,88.76,-16.68,0.58,-17.26,depleted,489.08,35.8435,True,fair,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,depleted (GTEx rank only),depleted
BMPR1A,TGCT,Testis,75.49,58.81,16.68,0.58,16.1,enriched,585.72,5.7106,True,fair,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
BMPR1B,TGCT,Testis,41.84,50.25,-8.41,0.58,-8.99,comparable,46.95,3.5007,False,fair,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
BMPR2,TGCT,Testis,87.24,70.63,16.61,0.58,16.03,enriched,1390.92,10.3181,True,fair,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
CCR1,TGCT,Testis,64.97,17.33,47.64,0.58,47.06,enriched,310.94,0.4242,False,fair,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
CCR5,TGCT,Testis,67.51,8.85,58.67,0.58,58.09,enriched,363.0,0.1618,True,fair,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
CD4,TGCT,Testis,89.27,51.92,37.35,0.58,36.77,enriched,1641.05,3.8587,True,fair,0.4296,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
CD44,TGCT,Testis,88.98,41.04,47.93,0.58,47.35,enriched,1601.39,2.1539,True,fair,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct,,,,,,,,enriched (GTEx rank only),enriched
CX3CR1,TGCT,Testis,40.03,29.37,10.66,0.58,10.08,enriched,38.23,1.0202,False,fair,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
EGFR,TGCT,Testis,51.49,59.03,-7.54,0.58,-8.12,comparable,124.28,5.7314,False,fair,0.2873,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping fair: GTEx testis is adult spermatogenic tissue; TGCT is germ-cell derived but developmentally distinct; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
