receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
NTRK2,LUAD,Lung,42.28,37.49,4.79,0.8,3.99,comparable,43.28,1.7701,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,385.26,-3.1247,-2.998,-0.7709,6.357650090160543e-21,depleted,comparable/depleted (partial),comparable
NTRK3,LUAD,Lung,28.14,39.16,-11.02,0.8,-11.82,depleted,7.72,2.1421,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,41.38,-2.2815,-2.1548,-0.8443,8.295572858369315e-25,depleted,depleted (both methods agree),depleted
PARD3,LUAD,Lung,79.41,69.98,9.43,0.8,8.63,comparable,961.45,22.9907,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,861.95,0.1574,0.2841,0.248,0.0030938049392861414,comparable,comparable (both methods agree),comparable
PDGFRB,LUAD,Lung,89.7,95.14,-5.44,0.8,-6.24,comparable,2316.85,182.712,True,good,0.2297,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,3112.9,-0.4259,-0.2992,-0.2337,0.005424741362586907,comparable,comparable (both methods agree),comparable
PLXNA1,LUAD,Lung,88.25,77.08,11.17,0.8,10.37,enriched,1993.05,34.3791,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2484.76,-0.318,-0.1913,-0.2016,0.017242245970259522,comparable,enriched/comparable (partial),enriched
PLXNA2,LUAD,Lung,83.03,76.29,6.74,0.8,5.95,comparable,1233.92,32.6357,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2504.86,-1.0209,-0.8942,-0.5976,4.029221534578192e-13,depleted,comparable/depleted (partial),comparable
PLXNA3,LUAD,Lung,82.6,68.09,14.5,0.8,13.71,enriched,1186.89,20.855,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,678.99,0.8048,0.9315,0.6086,1.4533138430326343e-13,enriched,enriched (both methods agree),enriched
PLXNA4,LUAD,Lung,47.43,37.93,9.5,0.8,8.7,comparable,78.97,1.8394,False,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,98.15,-0.3101,-0.1834,-0.1961,0.02060439634105943,comparable,comparable (both methods agree),comparable
PTPRC,LUAD,Lung,84.34,86.0,-1.67,0.8,-2.47,comparable,1330.24,63.6596,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2803.66,-1.0751,-0.9484,-0.6265,2.717232885315123e-14,depleted,comparable/depleted (partial),comparable
PTPRZ1,LUAD,Lung,39.01,36.98,2.03,0.8,1.23,comparable,27.9,1.698,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,31.16,-0.1544,-0.0277,-0.0116,0.8995310966962622,comparable,comparable (both methods agree),comparable
SDC1,LUAD,Lung,98.33,88.32,10.01,0.8,9.21,comparable,11929.5,78.8277,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,7556.41,0.6587,0.7854,0.5141,4.5184344953062637e-10,enriched,comparable/enriched (partial),comparable
SDC2,LUAD,Lung,77.16,82.6,-5.44,0.8,-6.24,comparable,821.56,48.2224,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2034.46,-1.3072,-1.1805,-0.7764,3.347232946365498e-21,depleted,comparable/depleted (partial),comparable
SDC3,LUAD,Lung,89.49,78.9,10.59,0.8,9.79,comparable,2266.05,38.3491,True,good,0.7548,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2306.9,-0.0258,0.1009,0.0468,0.6017028590038603,comparable,comparable (both methods agree),comparable
SDC4,LUAD,Lung,97.61,96.52,1.09,0.8,0.29,comparable,9631.21,237.473,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,15329.3,-0.6704,-0.5437,-0.5211,2.6000263304137567e-10,depleted,comparable/depleted (partial),comparable
SORT1,LUAD,Lung,90.94,86.51,4.42,0.8,3.63,comparable,2775.21,65.3976,True,good,0.2905,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,5424.98,-0.9668,-0.8401,-0.8516,3.309729133247231e-25,depleted,comparable/depleted (partial),comparable
TGFBR1,LUAD,Lung,83.25,71.86,11.39,0.8,10.59,enriched,1253.02,25.2705,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1426.94,-0.1874,-0.0607,-0.254,0.002431835178669058,comparable,enriched/comparable (partial),enriched
TGFBR2,LUAD,Lung,92.24,96.37,-4.13,0.8,-4.93,comparable,3475.87,223.908,True,good,0.878,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,11959.4,-1.7824,-1.6557,-0.9766,1.5906384454302538e-32,depleted,comparable/depleted (partial),comparable
