gene,verdict,reason,n_pairs,median_paired_diff,p_value,batch_handling,n_tumor,n_normal,frac_tumor,frac_normal,n_dropped_no_shared_plex,n_aliquots_dropped_single_arm_plex,tumor_type,pdc_study_id,blind,in_matrix,miss_tumor,miss_normal,miss_fisher_p,genomewide_percentile,in_panel,fdr,reason_if_untestable
SDC3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,OV,PDC000110,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
SDC4,TESTABLE,passes pre-spec 2.1,13,0.06209999999999982,0.83935546875,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,62.309724493646996,True,0.83935546875,
NCL,TESTABLE,passes pre-spec 2.1,13,0.9056,0.000732421875,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,98.36457416027173,True,0.001025390625,
ITGAV,TESTABLE,passes pre-spec 2.1,13,0.022399999999999975,0.375732421875,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,58.57340545980627,True,0.375732421875,
PTPRZ1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,OV,PDC000110,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR2,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,OV,PDC000110,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,OV,PDC000110,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
PTN,TESTABLE,passes pre-spec 2.1,13,0.01990000000000003,0.83935546875,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,58.28406088816203,False,0.83935546875,
SDC1,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,True,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
SDC2,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,True,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
SDC3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,BRCA,PDC000120,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
SDC4,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,True,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
NCL,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,True,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
ITGAV,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,True,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
PTPRZ1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,BRCA,PDC000120,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR2,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,BRCA,PDC000120,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,BRCA,PDC000120,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
PTN,UNTESTABLE,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists",0,,,batch_corrected,118,18,1.0,1.0,17,136,BRCA,PDC000120,True,True,0.0,0.0,1.0,,False,,"no within-plex pair and no mixed-arm plex: arm is confounded with plex, so no batch-free contrast exists"
SDC1,TESTABLE,passes pre-spec 2.1,67,1.0675000000000001,2.7489287628442794e-12,batch_free,141,75,1.0,1.0,0,0,PAAD,PDC000270,True,True,0.0,0.0,1.0,98.78582367096915,True,1.1939304249906837e-11,
SDC2,TESTABLE,passes pre-spec 2.1,67,-0.1497,0.002349209618198507,batch_free,141,75,1.0,1.0,0,0,PAAD,PDC000270,True,True,0.0,0.0,1.0,32.35615838984905,True,0.016444467327389547,
SDC3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,PAAD,PDC000270,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
SDC4,TESTABLE,passes pre-spec 2.1,67,-0.16890000000000002,0.041086784058850224,batch_free,141,75,1.0,1.0,0,0,PAAD,PDC000270,True,True,0.0,0.0,1.0,30.6825639903741,True,0.05752149768239031,
NCL,TESTABLE,passes pre-spec 2.1,67,-0.0715,0.009883903084741704,batch_free,141,75,1.0,1.0,0,0,PAAD,PDC000270,True,True,0.0,0.0,1.0,40.16626558739882,True,0.011303061619400978,
ITGAV,TESTABLE,passes pre-spec 2.1,67,0.6084,2.514223475483223e-12,batch_free,141,75,1.0,1.0,0,0,PAAD,PDC000270,True,True,0.0,0.0,1.0,92.08050754758258,True,1.759956432838256e-11,
PTPRZ1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,PAAD,PDC000270,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR2,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,PAAD,PDC000270,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR3,TESTABLE,passes pre-spec 2.1,65,1.0208,5.22627636831214e-11,batch_free,136,73,0.9645390070921985,0.9733333333333334,0,0,PAAD,PDC000270,True,True,0.03546099290780142,0.02666666666666667,1.0,98.53423758477358,True,5.22627636831214e-11,
