gene,gene_symbol,log2FC_discovery,fdr_discovery,log2FC_validation,fdr_validation,direction,combined_z,min_abs_log2FC
ENSG00000100056,DGCR14,0.1963184973207805,0.0012268704091266392,0.19595446093436614,0.0028553244229475843,up,4.849403303868847,0.19595446093436614
ENSG00000177666,PNPLA2,0.46067839299965646,3.969313779182001e-05,0.20063118973510746,0.03818088979240275,up,4.848426588612045,0.20063118973510746
ENSG00000163625,WDFY3,-0.5366247255288265,0.0001073499031148554,-0.19055651226353348,0.020562631305716835,down,-4.846944452194268,0.19055651226353348
ENSG00000102181,CD99L2,-0.27116090971671025,0.0005457628797863368,-0.09445373117633543,0.006094529373365483,down,-4.84461354578521,0.09445373117633543
ENSG00000261526,CTB-31O20.2,0.3593949969878513,5.3271661967320754e-05,0.10983255373747289,0.03259620127070423,up,4.844007142353487,0.10983255373747289
ENSG00000157426,AASDH,-0.2519648742628982,0.022624090307861347,-0.14224572638540087,7.0548243500315e-05,down,-4.843162635511882,0.14224572638540087
ENSG00000124104,SNX21,0.3403351253518676,0.001358118629627954,0.18681669285525526,0.002702910441492366,up,4.838935564851613,0.18681669285525526
ENSG00000246560,RP11-10L12.4,-0.17480009361450818,0.04345739472867595,-0.20047711708120786,2.2439935864234463e-05,down,-4.835820137773129,0.17480009361450818
ENSG00000251411,RP11-397E7.4,0.2658650131563407,0.0052065572402810335,0.27195195547193246,0.0006304652039896592,up,4.830672934845555,0.2658650131563407
ENSG00000095370,SH2D3C,0.4739953864751588,0.0007239398580444432,0.20013611290628944,0.005062018684391055,up,4.830508717478669,0.20013611290628944
ENSG00000245293,RP11-286E11.1,-0.6220783230884092,5.281336252100345e-05,-0.1793251899777812,0.03444433735217058,down,-4.829243224264494,0.1793251899777812
ENSG00000198208,RPS6KL1,0.3284804130598398,0.004267432650516402,0.18596056346091824,0.0008083676918128329,up,4.829224588893816,0.18596056346091824
ENSG00000164037,SLC9B1,0.1898018443702981,0.04887602996643784,0.35017962360220994,1.8647510746682367e-05,up,4.828153515807959,0.1898018443702981
ENSG00000215424,MCM3AP-AS1,-0.32659970778306874,0.003573539986323466,-0.5004531907048023,0.0010031468846734047,down,-4.826634880369272,0.32659970778306874
ENSG00000168765,GSTM4,-0.27496361658355356,0.0014054693845678401,-0.1615787962972303,0.002791164625660074,down,-4.824027387454099,0.1615787962972303
ENSG00000150459,SAP18,0.18871811017035822,0.01962487351583206,0.11467324681776023,0.00010075238538850442,up,4.823495782475297,0.11467324681776023
ENSG00000070367,EXOC5,-0.3051509075663424,0.03769550020629777,-0.2998348466277866,3.253558882554666e-05,down,-4.820052898304767,0.2998348466277866
ENSG00000117262,GPR89A,-0.22438411389824775,0.03123059184321683,-0.22602844364308475,4.655294594032184e-05,down,-4.817968456171004,0.22438411389824775
ENSG00000075223,SEMA3C,-0.5810696870961152,0.0027330084503708473,-0.3645416610065066,0.0014274255098296511,down,-4.8170026669238295,0.3645416610065066
ENSG00000179085,DPM3,0.28605715941753795,0.0011683024936278458,0.5083936727927466,0.0035197907326297967,up,4.813134299501704,0.28605715941753795
ENSG00000135451,TROAP,-0.3207797054319524,0.03597796828393989,-0.6090493706097112,3.708707986960336e-05,down,-4.812488133829449,0.3207797054319524
ENSG00000029363,BCLAF1,-0.5287693545299466,9.098445777957471e-05,-0.14258234404399697,0.02611747734126549,down,-4.811319775883588,0.14258234404399697
ENSG00000109927,TECTA,0.18715150325249363,0.0012474119780828826,0.14413437928720332,0.0033874123724708513,up,4.807635742379824,0.14413437928720332
ENSG00000058668,ATP2B4,0.40505996840766867,0.019022997343204943,0.2540438955787494,0.0001161554153127005,up,4.807138754984814,0.2540438955787494
ENSG00000054983,GALC,-0.30384395093915034,0.007477552624912233,-0.1915791423472889,0.00044609241603279587,down,-4.806804208022498,0.1915791423472889
ENSG00000188130,MAPK12,0.4065356918838516,0.0013900926249487777,0.27720174139002035,0.0030733051602531663,up,4.805547874962442,0.27720174139002035
ENSG00000233237,LINC00472,-0.2922217521114613,0.022279905809741853,-0.36361771244123076,9.063667129072905e-05,down,-4.804703305034306,0.2922217521114613
ENSG00000198301,SDAD1,-0.36526419694859896,0.00010830645902881588,-0.12213560638651151,0.024065592133377917,down,-4.801896492197522,0.12213560638651151
ENSG00000184967,NOC4L,0.527111677437259,4.778314128047262e-05,0.2678309272670062,0.040458761033531764,up,4.798427598817614,0.2678309272670062
ENSG00000165802,NSMF,-0.29894707610633386,0.007845130954084404,-0.22272520301124724,0.00043955925147381336,down,-4.797961297003795,0.22272520301124724
ENSG00000085224,ATRX,-0.2804803588490167,0.0209508225161089,-0.3040778261738044,0.00010506558167090676,down,-4.797024846655459,0.2804803588490167
ENSG00000131269,ABCB7,-0.17186368866764837,0.044167870161892483,-0.134200032764141,2.769888152800572e-05,down,-4.796569976540641,0.134200032764141
ENSG00000108187,PBLD,0.4438183835851616,0.00045751285302157214,0.14539156459624625,0.008557118886640496,up,4.796362176332437,0.14539156459624625
ENSG00000041880,PARP3,0.28076411196383494,0.004180533998396919,0.1401774832332356,0.0009851369741236834,up,4.794471599531129,0.1401774832332356
ENSG00000137411,VARS2,0.5353924209543706,7.76856337636207e-05,0.11503415883942765,0.03058013204659501,up,4.79424141407505,0.11503415883942765
ENSG00000011566,MAP4K3,-0.4590682898335688,0.0022013762824032277,-0.3024264523838374,0.0020158091929044467,down,-4.794117166446173,0.3024264523838374
ENSG00000130733,YIPF2,0.41525375029295675,0.0003314312881756529,0.21578964983442317,0.011203943448833173,up,4.792796637924348,0.21578964983442317
ENSG00000150712,MTMR12,-0.27076250691893505,0.00618588011183705,-0.1837395529343893,0.0006146829631315668,down,-4.791816861582917,0.1837395529343893
ENSG00000101843,PSMD10,0.23965158316516813,0.001961873327953804,0.12967209003719102,0.0023031108236298194,up,4.791062580572215,0.12967209003719102
ENSG00000219928,RP11-40C6.2,0.500591649032738,0.0012480191685322406,0.37393167494543655,0.003654295995508896,up,4.790365106487607,0.37393167494543655
ENSG00000108666,C17orf75,0.23392337114262723,0.025067706766144025,0.15048299382819053,8.19240154070858e-05,up,4.788463361197629,0.15048299382819053
ENSG00000243696,RP5-966M1.6,0.2947663587749097,0.015061468729143563,0.34974595417344473,0.0001862143466640686,up,4.786572891008721,0.2947663587749097
ENSG00000167523,SPATA33,0.28990047733380264,0.004341295484916087,0.20588419597726101,0.0009811174252730597,up,4.786211677723689,0.20588419597726101
ENSG00000259863,SH3RF3-AS1,0.2178796432925617,0.03423568278784395,0.3626778100378789,4.815019888846736e-05,up,4.784575086941428,0.2178796432925617
ENSG00000266282,UBL5P2,0.4488977348799459,0.0007092221564862306,0.31711408963329596,0.00626591345828387,up,4.784360880980598,0.31711408963329596
ENSG00000115902,SLC1A4,0.5678361196858515,0.0021137160728288296,0.18805634356356513,0.002205580434500955,up,4.784100657063834,0.18805634356356513
ENSG00000106400,ZNHIT1,0.35119659471619813,5.449407653018382e-05,0.21699473572468136,0.03936090471656998,up,4.784067329250371,0.21699473572468136
ENSG00000121749,TBC1D15,-0.33461017121827485,0.0051910412510999225,-0.11914935732494812,0.0008017353715829889,down,-4.783965542049152,0.11914935732494812
ENSG00000100577,GSTZ1,0.4387835446528336,0.0021785380322410087,0.25486974414587316,0.0021405302516771993,up,4.783731255152793,0.25486974414587316
ENSG00000260579,RP11-382A20.2,0.3391295233641827,0.03245339834267681,0.2718275409116534,5.339112099272256e-05,up,4.783347559665519,0.2718275409116534
ENSG00000270673,YTHDF3-AS1,0.33856270946940614,0.0016938719524584131,0.5025809444675394,0.0027795863372019115,up,4.783239845003462,0.33856270946940614
ENSG00000089057,SLC23A2,0.3692261163667338,0.00019655064185147456,0.16013621805120587,0.017203800921946993,up,4.780945214738074,0.16013621805120587
ENSG00000267042,CTD-3193K9.4,0.26988499741394206,0.028593671699972643,0.6919030066105599,6.873481167467644e-05,up,4.779770904967817,0.26988499741394206
ENSG00000154783,FGD5,0.4676113662972504,0.00010811117250709876,0.08782498326207118,0.02624759740946519,up,4.778107373224377,0.08782498326207118
ENSG00000273015,LINC00938,0.18725228189431325,0.04660795603450821,0.1610076375810343,2.8739546948811997e-05,up,4.772881506228967,0.1610076375810343
ENSG00000101096,NFATC2,0.32873206594926496,0.01052367725319064,0.2099411621185108,0.00033846388266273587,up,4.772110843241056,0.2099411621185108
ENSG00000228544,CCDC183-AS1,0.23156792931515968,0.0015304100945436286,0.31667152451828534,0.0032490091013913304,up,4.771005835568317,0.23156792931515968
ENSG00000233593,RP4-665J23.1,-0.7326381316318256,6.681043595513505e-05,-0.16159524140412113,0.036438184495963456,down,-4.770479340518188,0.16159524140412113
ENSG00000268358,EPB41L4A-AS2,0.38248541596290614,0.0006426296687591434,0.2869244490921863,0.007212451988044073,up,4.76981822581444,0.2869244490921863
ENSG00000257702,LBX2-AS1,0.29778287127901915,0.0008314923547654296,0.1901242727848327,0.005836753170918078,up,4.7688785205766875,0.1901242727848327
ENSG00000267221,CTD-2132N18.2,0.4780010300866687,8.368102711993863e-05,0.31542965279917745,0.03186455016090702,up,4.768621377101332,0.31542965279917745
ENSG00000205913,SRRM2-AS1,0.20626333311452835,0.019176638256255717,0.3022421768349308,0.0001426726811529638,up,4.768549924943841,0.20626333311452835
ENSG00000008226,DLEC1,0.24456295888058008,0.01856117862218677,0.5919035521912863,0.00015072944390326457,up,4.768080647839833,0.24456295888058008
ENSG00000105137,SYDE1,0.39986804660403275,0.0008836089280472322,0.16165032866193216,0.005568701112530434,up,4.767334589799139,0.16165032866193216
ENSG00000101928,MOSPD1,-0.3012684875032739,0.00680629319880133,-0.165412041755991,0.0006179962817930738,down,-4.766757113967257,0.165412041755991
ENSG00000089692,LAG3,0.3116658166927127,0.0356559092810586,0.49182746557865503,5.011740717525892e-05,up,4.765246239936796,0.3116658166927127
ENSG00000137936,BCAR3,-0.4390713926205922,0.025489308882194604,-0.19153070058398378,9.12318506342375e-05,down,-4.7651097178303665,0.19153070058398378
ENSG00000174373,RALGAPA1,-0.3352860370075779,0.0020272675460131346,-0.23411568146886055,0.0025145186377645745,down,-4.764804951745828,0.23411568146886055
ENSG00000197619,ZNF615,-0.2839591368334011,0.0022489999808263527,-0.21270300959861682,0.0022717628327822183,down,-4.763333643262543,0.21270300959861682
ENSG00000250067,YJEFN3,0.38969156498057184,0.025257484984816142,0.3207505189232528,9.622318493863894e-05,up,4.758396688018336,0.3207505189232528
ENSG00000157470,FAM81A,-0.355848961786389,0.03277668436579217,-0.3600944142611764,6.088332809244215e-05,down,-4.7580037704208475,0.355848961786389
ENSG00000126012,KDM5C,-0.2514022201274122,0.020368317633829427,-0.19117228157473082,0.0001381817335696234,down,-4.757441581426811,0.19117228157473082
